,movie_name,Produced by,Music by,Productioncompany,Running time,Country,Language,Budget(Milion),Box office(Milion),SuccessCategory
0,Snow White and the Seven Dwarfs (1937 film),['Walt Disney'],"['Frank Churchill', 'Leigh Harline', 'Paul Smith']",['Walt Disney Productions'],['83 minutes'],['United States'],['English'],2.00,418.00,Flop
1,Pinocchio (1940 film),['Walt Disney'],"['Leigh Harline', 'Ned Washington', 'Paul J. Smith']",['Walt Disney Productions'],['88 minutes'],['United States'],['English'],3.00,164.00,Flop
2,Fantasia (1940 film),['Walt Disney'],['See plot'],['Walt Disney Productions'],['126 minutes[1]'],['United States'],['English'],2.00,84.00,Flop
3,The Reluctant Dragon (1941 film),['Walt Disney'],"['Frank Churchill', 'Larry Morey']",['Walt Disney Productions'],['74 minutes'],['United States'],['English'],600000.00,960000.00,Mid
4,Dumbo,['Walt Disney'],"['Frank Churchill', 'Oliver Wallace']",['Walt Disney Productions'],['64 minutes'],['United States'],['English'],950000.00,1.00,Flop
5,Bambi,['Walt Disney'],"['Frank Churchill', 'Edward H. Plumb']",['Walt Disney Productions'],['70 minutes'],['United States'],['English'],858000.00,267.00,Flop
6,Saludos Amigos,['Walt Disney'],"['Paul Smith', 'Edward H. Plumb']",['Walt Disney Productions'],['42 minutes'],['United States'],,788000.00,1.00,Flop
7,Victory Through Air Power (film),['Walt Disney'],"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",['Walt Disney Productions'],['65 min'],['United States'],['English'],788000.00,799000.00,Mid
8,The Three Caballeros,['Walt Disney'],"['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",['Walt Disney Productions'],['71 minutes'],['United States'],,na,4.00,Flop
9,Make Mine Music,"['Walt Disney', 'Joe Grant']","['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']",['Walt Disney Productions'],['75 minutes'],['United States'],['English'],1.00,4.00,Flop
10,Song of the South,"['Walt Disney', 'Perce Pearce']","['Daniele Amfitheatrof', 'Paul J. Smith']",['Walt Disney Productions'],['94 minutes[1]'],['United States'],['English'],2.00,65.00,Flop
11,Fun and Fancy Free,"['Walt Disney', 'Ben Sharpsteen']","['Oliver Wallace', 'Paul Smith', 'Eliot Daniel', 'Charles Wolcott']",['Walt Disney Productions'],['73 minutes'],['United States'],['English'],2.00,3.00,Flop
12,Melody Time,"['Walt Disney', 'Ben Sharpsteen']","['Eliot Daniel', 'Paul J. Smith', 'Ken Darby']",['Walt Disney Productions'],['75 minutes'],['United States'],['English'],2.00,3.00,Flop
13,So Dear to My Heart,"['Walt Disney', 'Perce Pearce']",['Paul Smith'],['Walt Disney Productions'],['82 minutes'],['United States'],['English'],2.00,4.00,Flop
14,The Adventures of Ichabod and Mr. Toad,['Walt Disney'],['Oliver Wallace'],['Walt Disney Productions'],['68 minutes'],['United States'],['English'],na,2.00,Flop
15,Cinderella (1950 film),"['Walt Disney', 'Ben Sharpsteen']","['Oliver Wallace', 'Paul Smith']",['Walt Disney Productions'],['74 minutes'],['United States'],['English'],2.00,182.00,Flop
16,Treasure Island (1950 film),"['Walt Disney', 'Perce Pearce']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1]']",['96 minutes'],,['English'],2.00,4.00,Flop
17,Alice in Wonderland (1951 film),['Walt Disney'],['Oliver Wallace'],['Walt Disney Productions'],['75 minutes'],['United States'],['English'],3.00,5.00,Flop
18,The Story of Robin Hood (film),"['Perce Pearce', 'Walt Disney']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1][2]', 'RKO-Walt Disney British Productions Limited[1][2]']",['84 minutes'],,['English'],NaN,2.00,Flop
19,Peter Pan (1953 film),['Walt Disney'],['Oliver Wallace'],['Walt Disney Productions'],['77 minutes'],['United States'],['English'],4.00,7.00,Flop
20,The Sword and the Rose,"['Perce Pearce', 'Walt Disney']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1]']",['92 minutes'],,['English'],2.00,1.00,Flop
21,The Living Desert,"['Ben Sharpsteen', 'Walt Disney']",['Paul J. Smith'],['Walt Disney Productions'],['69 minutes'],['United States'],['English'],3000000.00,3.00,Flop
22,Rob Roy: The Highland Rogue,"['Perce Pearce', 'Walt Disney']",['Cedric Thorpe Davie'],"['RKO-Walt Disney British Productions', 'RKO-Walt Disney British Productions[1]']",['81 minutes'],,['English'],2.00,2.00,Flop
23,The Vanishing Prairie,"['Ben Sharpsteen', 'Walt Disney']",['Paul J. Smith'],['Walt Disney Productions'],['60 minutes (VHS and Wild Discovery version)71 minutes (original)'],['United States'],['English'],NaN,2.00,Flop
24,"20,000 Leagues Under the Sea (1954 film)",['Walt Disney'],['Paul Smith'],['Walt Disney Productions'],['127 minutes'],['United States'],['English'],5.00,28.00,Flop
25,Davy Crockett: King of the Wild Frontier (film),['Bill Walsh'],"['George Bruns', 'Edward H. Plumb']",['Walt Disney Productions'],['93 minutes'],['United States'],['English'],NaN,2150000.00,Hit
26,Lady and the Tramp,['Walt Disney'],['Oliver Wallace'],['Walt Disney Productions'],['76 minutes'],['United States'],['English'],4.00,187.00,Flop
27,The African Lion,"['Walt Disney', 'Ben Sharpsteen']",['Paul J. Smith'],['Walt Disney Productions'],['75 minutes'],['United States'],['English'],NaN,2.00,Flop
